total_ms,count,per_decode_range_ms,avg_us,min_us,max_us,name
206.271709,1032,25.783964,199.875687,4.737,1247.618,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
142.296698,344,17.787087,413.653192,14.976,1735.808,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
91.762551,2920,11.470319,31.425531,20.768,45.056,"dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
87.083684,774,10.885461,112.51122,102.079,121.76,"dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
58.36544,328,7.29568,177.943415,132.576,222.113,"dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const int *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float, int, int, int, int)"
45.281033,344,5.660129,131.63091,46.656,139.264,"dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int *, int *, float *, int, int, int, int, int, float)"
44.001957,688,5.500245,63.956333,63.36,64.96,"dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, float *, float *, float *, int, int, int, int, float, int)"
33.056555,168,4.132069,196.765208,189.472,203.712,"dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int *, int, int, int, int, int, int, int, float, int)"
29.250294,344,3.656287,85.029924,7.615,512.097,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10.724318,496,1.34054,21.621609,11.616,29.568,"dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, int, int, int, int, int, int, int, int, int, float, int, float, int, float, float, float)"
8.707135,1504,1.088392,5.789318,4.224,9.568,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
3.470805,1376,0.433851,2.522387,1.824,3.328,"rms_norm_batched_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
3.25357,8,0.406696,406.69625,405.76,408.064,"gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
2.181248,696,0.272656,3.133977,2.208,3.52,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
1.651489,16,0.206436,103.218063,102.4,103.84,"dsv4_swa_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float)"
1.558048,344,0.194756,4.529209,4.32,4.896,"dsv4_pack_expert_ranks_kernel(const unsigned short *, const int *, const float *, const int *, int *, unsigned short *, int *, int *, int *, int, int, int, int, int)"
1.398384,688,0.174798,2.032535,1.855,2.464,"dsv4_mhc_post_kernel(const unsigned short *, const unsigned short *, const float *, const float *, unsigned short *, int, int, int)"
1.155742,696,0.144468,1.660549,1.536,1.92,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
1.101439,344,0.13768,3.201858,3.008,3.424,"dsv4_prepare_q_kernel(const unsigned short *, unsigned short *, int, int, int, int, int, float, float, int, float, float, float)"
1.040169,688,0.130021,1.511874,1.408,1.728,"dsv4_mhc_pre_kernel(const unsigned short *, const float *, unsigned short *, int, int, int)"
1.03507,199,0.129384,5.201357,4.608,5.984,"dsv4_pack_received_experts_kernel(const unsigned short *, const int *, const int *, int *, unsigned short *, float *, int *, int, int, int, int)"
0.892442,344,0.111555,2.594308,2.336,2.816,"dsv4_prepare_k_kernel(const unsigned short *, unsigned short *, int, int, int, int, float, int, float, float, float)"
0.863616,602,0.107952,1.434578,1.28,1.568,"dsv4_swiglu_clamped_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.769927,344,0.096241,2.23816,2.112,2.56,"dsv4_combine_route_outputs_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.50234,344,0.062793,1.460291,1.216,1.856,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
0.461691,344,0.057711,1.342125,1.247,1.696,"add_assign_bf16_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int)"
0.416517,258,0.052065,1.614407,1.504,1.921,"dsv4_scatter_packed_route_slot_kernel(const unsigned short *, unsigned short *, const int *, const float *, int, int, int)"
0.392542,344,0.049068,1.14111,0.96,1.312,"dsv4_update_window_cache_kernel(const unsigned short *, unsigned short *, int, int, int, int)"
0.282598,199,0.035325,1.42009,1.056,1.952,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.123007,8,0.015376,15.375875,14.943,15.808,"dsv4_mhc_head_pre_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, float)"
0.023135,8,0.002892,2.891875,2.72,3.04,"rms_norm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.020605,8,0.002576,2.575625,2.304,2.88,"embedding_batched_native_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int)"
0.012352,8,0.001544,1.544,1.472,1.6,"dsv4_mhc_expand_kernel(const unsigned short *, unsigned short *, int, int, int)"
